PackageName,KnownBadVersion,ThreatDescription,Source
02-echo,0.0.7,ShaiHulud,KOI
@accordproject/concerto-analysis,3.24.1,ShaiHulud,KOI
@accordproject/concerto-linter,3.24.1,ShaiHulud,KOI
@accordproject/concerto-linter-default-ruleset,3.24.1,ShaiHulud,KOI
@accordproject/concerto-metamodel,3.12.5,ShaiHulud,KOI
@accordproject/concerto-types,3.24.1,ShaiHulud,KOI
@accordproject/markdown-it-cicero,0.16.26,ShaiHulud,KOI
@accordproject/template-engine,2.7.2,ShaiHulud,KOI
@actbase/css-to-react-native-transform,1.0.3,ShaiHulud,KOI
@actbase/native,0.1.32,ShaiHulud,KOI
@actbase/node-server,1.1.19,ShaiHulud,KOI
@actbase/react-absolute,0.8.3,ShaiHulud,KOI
@actbase/react-daum-postcode,1.0.5,ShaiHulud,KOI
@actbase/react-kakaosdk,0.9.27,ShaiHulud,KOI
@actbase/react-native-actionsheet,1.0.3,ShaiHulud,KOI
@actbase/react-native-devtools,0.1.3,ShaiHulud,KOI
@actbase/react-native-fast-image,8.5.13,ShaiHulud,KOI
@actbase/react-native-kakao-channel,1.0.2,ShaiHulud,KOI
@actbase/react-native-kakao-navi,2.0.4,ShaiHulud,KOI
@actbase/react-native-less-transformer,1.0.6,ShaiHulud,KOI
@actbase/react-native-naver-login,1.0.1,ShaiHulud,KOI
@actbase/react-native-simple-video,1.0.13,ShaiHulud,KOI
@actbase/react-native-tiktok,1.1.3,ShaiHulud,KOI
@afetcan/api,0.0.13,ShaiHulud,KOI
@afetcan/storage,0.0.27,ShaiHulud,KOI
@alaan/s2s-auth,2.0.3,ShaiHulud,KOI
@alexadark/amadeus-api,1.0.4,ShaiHulud,KOI
@alexadark/gatsby-theme-events,1.0.1,ShaiHulud,KOI
@alexadark/gatsby-theme-wordpress-blog,2.0.1,ShaiHulud,KOI
@alexadark/reusable-functions,1.5.1,ShaiHulud,KOI
@alexcolls/nuxt-socket.io,0.0.7,ShaiHulud,KOI
@alexcolls/nuxt-socket.io,0.0.8,ShaiHulud,KOI
@alexcolls/nuxt-ux,0.6.1,ShaiHulud,KOI
@alexcolls/nuxt-ux,0.6.2,ShaiHulud,KOI
