PackageName,KnownBadVersion,ThreatDescription,Source
@ahmedhfarag/ngx-perfect-scrollbar,20.0.20,CustomerList,user_provided
@ahmedhfarag/ngx-virtual-scroller,4.0.4,CustomerList,user_provided
@art-ws/common,2.0.28,CustomerList,user_provided
@art-ws/config-eslint,2.0.4,CustomerList,user_provided
@art-ws/config-eslint,2.0.5,CustomerList,user_provided
@art-ws/config-ts,2.0.7,CustomerList,user_provided
@art-ws/config-ts,2.0.8,CustomerList,user_provided
@art-ws/db-context,2.0.24,CustomerList,user_provided
@art-ws/di-node,2.0.13,CustomerList,user_provided
@art-ws/di,2.0.28,CustomerList,user_provided
@art-ws/di,2.0.32,CustomerList,user_provided
@art-ws/eslint,1.0.5,CustomerList,user_provided
@art-ws/eslint,1.0.6,CustomerList,user_provided
@art-ws/fastify-http-server,2.0.24,CustomerList,user_provided
@art-ws/fastify-http-server,2.0.27,CustomerList,user_provided
@art-ws/http-server,2.0.21,CustomerList,user_provided
@art-ws/http-server,2.0.25,CustomerList,user_provided
@art-ws/openapi,0.1.12,CustomerList,user_provided
@art-ws/openapi,0.1.9,CustomerList,user_provided
@art-ws/package-base,1.0.5,CustomerList,user_provided
@art-ws/package-base,1.0.6,CustomerList,user_provided
@art-ws/prettier,1.0.5,CustomerList,user_provided
@art-ws/prettier,1.0.6,CustomerList,user_provided
@art-ws/slf,2.0.15,CustomerList,user_provided
@art-ws/slf,2.0.22,CustomerList,user_provided
@art-ws/ssl-info,1.0.10,CustomerList,user_provided
@art-ws/ssl-info,1.0.9,CustomerList,user_provided
@art-ws/web-app,1.0.3,CustomerList,user_provided
@art-ws/web-app,1.0.4,CustomerList,user_provided
@crowdstrike/commitlint,8.1.1,CustomerList,user_provided
@crowdstrike/commitlint,8.1.2,CustomerList,user_provided
@crowdstrike/falcon-shoelace,0.4.1,CustomerList,user_provided
@crowdstrike/falcon-shoelace,0.4.2,CustomerList,user_provided
@crowdstrike/foundry-js,0.19.1,CustomerList,user_provided
@crowdstrike/foundry-js,0.19.2,CustomerList,user_provided
@crowdstrike/glide-core,0.34.2,CustomerList,user_provided
@crowdstrike/glide-core,0.34.3,CustomerList,user_provided
@crowdstrike/logscale-dashboard,1.205.1,CustomerList,user_provided
@crowdstrike/logscale-dashboard,1.205.2,CustomerList,user_provided
@crowdstrike/logscale-file-editor,1.205.1,CustomerList,user_provided
@crowdstrike/logscale-file-editor,1.205.2,CustomerList,user_provided
@crowdstrike/logscale-parser-edit,1.205.1,CustomerList,user_provided
@crowdstrike/logscale-parser-edit,1.205.2,CustomerList,user_provided
@crowdstrike/logscale-search,1.205.1,CustomerList,user_provided
@crowdstrike/logscale-search,1.205.2,CustomerList,user_provided
@crowdstrike/tailwind-toucan-base,5.0.1,CustomerList,user_provided
@crowdstrike/tailwind-toucan-base,5.0.2,CustomerList,user_provided
@ctrl/deluge,7.2.1,CustomerList,user_provided
@ctrl/deluge,7.2.2,CustomerList,user_provided
@ctrl/golang-template,1.4.2,CustomerList,user_provided
@ctrl/golang-template,1.4.3,CustomerList,user_provided
@ctrl/magnet-link,4.0.3,CustomerList,user_provided
@ctrl/magnet-link,4.0.4,CustomerList,user_provided
@ctrl/ngx-codemirror,7.0.1,CustomerList,user_provided
@ctrl/ngx-codemirror,7.0.2,CustomerList,user_provided
@ctrl/ngx-csv,6.0.1,CustomerList,user_provided
@ctrl/ngx-csv,6.0.2,CustomerList,user_provided
@ctrl/ngx-emoji-mart,9.2.1,CustomerList,user_provided
@ctrl/ngx-emoji-mart,9.2.2,CustomerList,user_provided
@ctrl/ngx-rightclick,4.0.1,CustomerList,user_provided
@ctrl/ngx-rightclick,4.0.2,CustomerList,user_provided
@ctrl/qbittorrent,9.7.1,CustomerList,user_provided
@ctrl/qbittorrent,9.7.2,CustomerList,user_provided
@ctrl/react-adsense,2.0.1,CustomerList,user_provided
@ctrl/react-adsense,2.0.2,CustomerList,user_provided
@ctrl/shared-torrent,6.3.1,CustomerList,user_provided
@ctrl/shared-torrent,6.3.2,CustomerList,user_provided
@ctrl/tinycolor,4.1.1,CustomerList,user_provided
@ctrl/tinycolor,4.1.2,CustomerList,user_provided
@ctrl/torrent-file,4.1.1,CustomerList,user_provided
@ctrl/torrent-file,4.1.2,CustomerList,user_provided
@ctrl/transmission,7.3.1,CustomerList,user_provided
@ctrl/ts-base32,4.0.1,CustomerList,user_provided
@ctrl/ts-base32,4.0.2,CustomerList,user_provided
@hestjs/core,0.2.1,CustomerList,user_provided
@hestjs/cqrs,0.1.6,CustomerList,user_provided
@hestjs/demo,0.1.2,CustomerList,user_provided
@hestjs/eslint-config,0.1.2,CustomerList,user_provided
